w_id	word	Chechen	ZH..АЗ.Azerbaijani	ZI..KU..Kumyk	ZJ..KT..Kumyk_Kajtag_Tumenler	A..АВЧД.Avar..Chadakolob.	B..АНД.Andi		C..АХВ.Akhvakh	D..ЧАМ.Chamalal	E..ЧАМГ.Chamalal..Gigatli.	F..ТИНД.Tindi	G..ИНХ.Inkhokwari	H..ЦЕЗ.Tsez	I..ГИН.Hinuq	J..БЕЖТ.Bezhta..Tladal.	K..БЕЖХ.Bezhta..Khoshar.Khota.	L..ГУНЗ.Hunzib	M..ЛАК.Lak	N..ДАРЧ.Chirag.Dargwa	O..АРЧ.Archi	P..ТАБД.Tabasaran..Dyubek.	Q..ТАБК.Tabasaran..Kondik.	R..АГБЩ.Agul..Burshag.	S..АГРИ.Agul..Richa.	T..АГБХ.Agul..Burkikhan.	U..АГФИ.Agul..Fite.	V..АГТП.Agul..Tpig.	W..ЛЕЗХ.Lezgian..Khlyut.	X..РУТЛ.Rutul..Luchek.	ZA..ЦАХ.Tsakhur..Mikik.	ZB..ЦАХГ.Tsakhur..Helmets.	ZC..ЦАХЦ.Tsakhur..Tsakhur.	ZD..КРЫЗ.Kryz	ZE..БУД.Budugh	ZF..ХИН.Khinalug	ZG..УД.Udi
104	БРАТ	ваша 	гардаш	эркъардаш, къардаш, уланкъардаш	къардаш	wac, wacHál, k'íwacHal	woc̄i/HF, wacʔal/H, c̄inaʔal/HHL		wac̄i/L, wac̄iq'a/HHL, c̄iniq'a/HHL	wac/H, waca:b/H, s̄eba:b/H	wocí/HL, wacáb/H, cebáb/H	waci, wacaw, s̄ebaw	ɨs/L, waccahaw/HHL, sebahaw/HHL	esju, wacʕal, cinaʕal	essu, wacʕal, cinaʕal	is/L, wacʕal/L, conaʕal/L	is, wac'al, conaʔal	ɨs, wacʕal, cunaʕal	us̄˳u, s̄araqu || s̄uraqu, qinirbu	ục̄é, ục̄íq'ar, k'uníq'ar	úš-du, šekér-t̄u, íšeker-t̄u	c̊i/F	c̊i, emdín/Xalújin/Xalájin/eméjin baj	c̊uj, čaX˳ár, Harči	ču, čumXár, Hurčíbaj	ču, čiwX˳ár	küj, čibXár	NA	stXa	šu	čož/R	čož	čoǯ	šid	šid	csɨ	viči, ämin-Rar
105	СЕСТРА	йиша 	баҹы	къызкъардаш	къизкъардаш	jac, jacHál, k'íjacHal	joc̄i/HF, jacʔal/H, c̄inaʔal/HHL		jac̄i/L, jac̄iq'a/HHL, c̄iniq'a/HHL	jac/H, jaca:b/H	jací/HL, jacáb/H, cebáb/H	jaci, jacab, s̄ebaj	ɨs, jaccahaj/HHL, sebahaj/HHL	esju, jacʕal, imʕal	essu, jacʕal, cinaʕal	is, jacʕai/L, conaʔal	isi, jac'al, conaʔal	ɨs, jacʕal, cunaʕal	s̄u, s̄araqu, qinirbu	rục̄é || ruc̄é, ̣ruc̄íq'ar, k'uníq'ar	dóš-dur, šekér-t̄ur, íšeker-t̄ur	či/H	či, emdín/Xalújin/Xalájin/eméjin riš	či, čaX˳ár, Harčí	či, čumXár, Hurčíbaj	či, čiwX˳ár	či, čibXár	NA	waX	riší	jučɨ/RH	iči	jiči	šidɨr	šidir	rɨcɨ́	Xunči, ämin-Xüjär
106	СЫН	к1ант	оғул	улан	улани	wáša	wošo/HF		waša/L	waha/L	wošá/L	waha, k˳int'aw mak'ya	uže/L	uži	uži	öže/H	öžö	ože	ars, uIrč'	gále	lo, meLlé lo	baj/H	baž	baIž	gadá	gadá	gedá	NA	X˳a, gadá	duX, Xɨnɨ́X, gadá	dyɨX/H, gade/H	diX, gadä	diX, gade	diX, ʕäjel	diX, gədə	ši, gadá	Rar
107	ДОЧЬ	йо1	гыз	къыз	къизи	jáša	joši/HL		jaše/L	jah/L	ješí/L	jaha, hak̄uj mak'ya	kad/L	kid	ked	kid/L	kid	kid	duš	rus̄é	lo, ƚ̄enné lo	ríši/H	riš	rus̄̌	rus̄̌	ruš	ruš	NA	rɨš	rɨš	jiš/H, iči:/H	jiš, ičilaj	jiš, ičij	riš	riž	riší	Xüjär
108	ВНУК (СЫН СЫНА)	кентан кант	нәвә, нәвә	авлетни авлети, авлетни авлети, авлетни авлет уланы, авлетни авлет уланы	уланини улани; къизини улани, уланини улани; къизини улани	waša, jaša	wošuw-wošo, jošuLi wošo, wošuj-joši, jošuLi-joši		wašo-waša/HH-HL, jašoL̄i-jaše/HHL-L	wahu-waha/LH-L, jahuL-waha/LH-L, wahi-jah/LH-L, jahuL-jah/LH-L	wohú-wošá/H-L, jahúL-wošá/L-L, wohú-ješí/H-L, jahúL-ješí/L-L	wahu-waha, jahuj-waha, wahu-jaha, jahuj-jaha	užas uže/L-L, kandɨs uže/L-L, užas kad, kandɨs kad	eču, ečju	užiš/kedes uži, užiš/kedes ked	öždiš/kibbäšöže, öždiš/kidbas kid|	öždis/kidbos öžö, öždis/kidbas kid	oždis/kidbos ože, oždis/kidbos kid	arsnal/dušnil ars, arsnal/dušnil duš	gálla/rus̄íla gále, gálla/rus̄íla rus̄é	lahán lo	Xut̄úl/H, gudúl/H, c'udúl/H	Xṷt̄úl, gudúl, c'udúl	Xurúl	Xut̄úl	Xut̄úl	Xut̄úl	NA	Xt̃ɨl, št̃ɨl, ptɨl	Xɨdɨ́l	Xɨdɨl/H	NA	Xɨdɨly	Xɨdɨl, riš-Xɨdɨl	neve	Xɨdɨ́l, gɨdɨ́l, šɨdɨ́l	nävä
109	РЕБЁНОК	бер	өвладлар, ушаглар	авлетлер, наслу	яшлар	qižán	moč'i/HF		mik'e/L	mač'/H	mač'í/H	mak'ya	q'ala/L	NA	NA	NA	NA	q'əra	uIrč	nik'él	lo	baj-riší	bic'ír	wẹlléd	NA	šiník̄˳	šiník̄˳	NA	ajál	dükár	ušaX/H, čaRa/L	nabaliRI, ušaX, čaRa	ušaX, čaRa	ʕäjel	ʕäjel	Häjä́l	ajel
110	МУЖЧИНА	борша стаг	киши	эргиши, эркек	киши	či, bíhin-či	hek'a/HF3, hek'˳a/HF4, kúnt'a/HF		ek'˳a/RL, X̄ewe/L	hadam/H, hek'˳a/HL	adán/H, hék'a/HL	hek'˳a, h˳an-hek'˳a	hik'o/HL, Xol/H	žek'u, Xedju	rek'˳e, Xoddo	bikinči/L, bet'erhan/L	bixinči, bet'erhän	suk'u, baHarči, bet'erhan	adamina, las	admé	bošór, hállu || hal	z̊i/H, žilúr/H	admí, žilír	ilér, s̄̊uj	idémi, šuj	erémi, šuj	edím, xüj	NA	jet̃ém, Xül	wɨǧɨ́ldɨ, wɨǧɨ́l, edémi	adami/H	NA	adami	firi	furi	lɨgɨ́ld	išq̃ar
111	ЖЕНЩИНА	зуда	гадын	тиштайпа, къатынгиши	къатун	ʕadám, rucába	jošk'a/HL5, jošk'˳a/HL6, horc̄̌'i/HF		ak̄'a/H, ak̄'i/H	has'/L	hác'i/L	hak̄uj	RIine/HL	sg=Pl Rianebi, baru	aqili, baru	aqo/L	aqo	aqe	s̄̌ars̄a	xáde	ƚ̄onnól	šiw	Xp̄ir	Xewér	xir	xir, Xambéf	xir	NA	p̃ab	xɨdɨ́ldɨ, Garí	xunas̄̌e/LFL	xunas̄̌e	xunas̄̌e	Xɨnɨb, q'ev || q'öv	heǯ	Xinímk'ir	ču:X
112	НЕВЕСТА	нускал	гәлин	гелин	гелин	baHára	nusa/L		baHara:k̄'a/H	baHare/H	baHaré/H	baHaraj	baHaraj/H	baHaraj	baHaraj	L'isun/L, bäHäräj/L	L'isun, bähäräj	c'utu-la	halmaX-s̄̌ar	rik̄aná	mac'át̄ur	súsu/R, adaXlú/H	s̊us̊, adaXlú	s̄us̄	NA	NA	sus	NA	s˳as	sus	istaR/H	NA	istaR	sɨs	suz	c'ɨnás	bin
113	ЖЕНИХ		адахлы	гиев	гияв	parcáH	nuso/L		baHare:k'˳a/HHRL	baHaro/H	baHaró/H	baHaraw	baHaraw/H	baHaraw	baHaraw	bäHäräw/L	bäHäräw	c'utula	halmaX-ču:, halmaRaj	ik̄aná	mac'át̄u	NA	adaXIú	jazná	begy	nawrúz-begy	žam || ǯam	NA	jazná	lɨšánči	cuma/H	NA	cuma	bäg	bəg	bäg	bäj
114	ГОСТЬ	хьаша	гонаг	къонакъ	къонакъ	hoból	c̄'e/R		c̄'ewe/H, c̄'eje/H	s'ew/R, s'ej/R	c'ew/R, c'ej/R	ce	Lar/H	Lirba	Lerba	hobol/L	NA	hobol	qamaliču:, qamalus̄̌ar	X̄IuI, X̄Iul-xáde	X̄Ielé-t̄u, X̄Ielé-t̄u-r	Xalíz̊i/R, Xalíšiw/R	Xalíz̊, Xalíš	x̌alú-s̄̊uj, x̌alí-s̄̌ir	x̌ulá-šuj, x̌ulá-xir	x̌alá-šuj, x̌alá-xir	Xialú-xüj, XIalí-xir	NA	mihmán	mihmán	mihman/H	NA	mihman	mihmen	memen	k'ijä́	q̃onaR
115	ПАСТУХ (КОРОВ)	беж-ˤу	чобан, чобан, нахырчы, нахырчы	туварчы, туварчы, къойчу, къойчу	туварчи, къойчу	wex	Xoroša/HHL		iš˳ada/RL	ih˳a/LH	ihá/LH	ih˳a	iho/LH	NA	NA	wekä/RLL	weka	wexa	huXIču	ʕas̄̌é	Rát̄ərannu	márc̄̌uliqán	gavniqán, gabán, marc̄̌leqán	gawán	x̄up̄á-qan	x̌awá-qan	XIup̄á-qan	NA	Xyp̃éqan	XIabá-qan, neXír-qan	pešekar/HHL	NA	pašekar	q'ärɨvänt'	q'öri	halám-Xer	NA
116	ВООРУЖЕННЫЙ ОТРЯД		дәстә	савутлангъан аскер	NA	bo	iha/H		ĩho/R	iha/H	íha/H	iha	ez/H, q'uq'a/HL	oz	üz, q'uq'a	haz/H	haz	haz	q'Iuq'Ia	ạskár	áIri	q'ušúm/H	q'ušúm	ʕušúm	NA	q̄ušúm	q̄ušúm	NA	q'ušún	Gušúm	Gošin/H	NA	Gošin	dästä, q'ušin	Gušun	q'ušún	q̃ošun
117	ОВЦА (ОБЩЕЕ СЛОВО)	уьстаг1	гојун, гоч	мал, къой	къойлар	bóc'i	NA		rex̄et'i/HHL, ruc̄'u/R, raq'˳a/RL	bos'/R	búc'i/HL	bocar	bɨL'/F, posu/H	NA	beL'	boc'i/ML, bäk'i/M	boc'i	boc'i, bɵk'i	NA	mạ́c̄a	rí:c'i	NA	NA	NA	NA	NA	NA	NA	NA	XIɨb, surí	bak'i/R	NA	bak'i	K'äbäl	NA	halám	NA
118	ОВЦЕМАТКА	жий	гојун	къой	къой	her	dan/L		ĩXa/HL, lá:gi/HL	ĩXa/H	ríXa/L	riXa	bɨL'-Ru/F-L	beL'-Ru	beL'-Ru	biL'/RL	biL'	biL'	t̄a	čaqú, ʕínt̄a	č'an	márc̄̌a/L, čarwá/L	marc̄̌, čarwá	maIrc̄̌	x̌ub	x̌a	Xiub	NA	Xäb	t'exy	woq'Ia/HL	NA	woq'Ia	vul	č'uvəl	č'uvál	eRel
119	БАРАН	ка	гоч	къочкъар, ирк	ирк	k˳i	anƚ̄i/HL, kun/L		ãƚ̄i/HL, beda-ãƚ̄i/RH-HL	kũj || k˳ĩ:/L, ãƚ̄-kũj/L	ãƚ̄í/L, kũj/L	anƚi, k˳ĩ	ãƚƚi/HL, beL'e/HL, R˳Iala/HL	miL'i	kuj || k˳i	Xor/M	Xor	Xor	ku	čúja	baIK'	jáq̄a/H, jaq̄úč/H	jiq̄	NA	Řubár	NA	uq'ár	NA	her	wɨhɨ́r	Rarg/H	Rarg	Garg	Goč	Goč	ki	q̃oc̄̌
120	ЯГНЁНОК (< 1 ГОДА)	ˤахар	гузу	къозу	къозу	HoH	bura/L		L̄'e:/H || L̄'eje/H	L'ili/HF, jet'-ana/LHH	L'edír/HR, ret'ána/LH	L'e:r	Lile/HL, rot'on/LH	Leli	Leli	Lile/MRH	Lile	Lile	č'i, s̄i	maq'ára	L'al	ǯal/H, aRlíǯi/R	c̄̌il, aRlíǯ	k̄el, urg	k̄el, urg	k̄el, urg	k̄il, urg	NA	k̃el	gel, urg	gew/L, urg/R	NA	gew, urg	kěl, viq'ěr	kel	k'u, k̃arp̃á	q̃uzi
121	ОВЦА МОЛОДАЯ (1-3 ГОДА)	ц1инто	шишек	токълу	токълу	ʕork'én, Hórzú	išk'ol/HL, horc̄̌'in/HL, rebla/H		ãk̄'e/HL, req'e/HL	has'im/L	hac'ín/LR	ret'ana, reƚab, hakyin	reƚab/L	aqoni, k'irju	aqana, K'iru	ʕörk'en/H, Höržö/M	örk'en, höržö	ʕork'en, Horžu	nu:ša	šam, šam-ʕínt̄a, baIrtáx šam	baq'ári, č'erén	sumága	sṷmág	sem	sem	sem	sim	NA	šek, jiq'ár	nüšéj, Garg	nušej/L, gonna/H Rarg	nušej, q˳anna	nušej, gonna	xidil viq'ěr, miǧil viq'ěr	šeg, viq'er	šag, vuq'ár	q̃uzi
122	КОРОВА	етт	инәк	сыйыр	инек	ʕaká	ziwu/L, bišonni/L		žĩwo/H	zin/L	ziní/L, beč'úXa/H	zini, beč'uXa	zĩje/LH, Rolo/HL	zija, Ruro	R˳ero, R˳eriš	wara/L	wara	hɵrɵ	uIl, Rat̄ara, žaq'a	q'˳Ial	XIon	Xiní/R	XIṷní	x̌aní	X̌uní	x̌aní	XIaní	NA	k̃al	zer	zer/H	zär	zer	zar || ȝar	zər	lac || lucóz	čur, beli
123	БЫК	буг1а	өкүз	оьгюз (бугъа)	тана	oš	buRa/L		buRa/HL	buRa/L	buRá/L	buRa	reč'eta/RRL	gani	gani	buRa/MRL	buRa	gane	buRa	buRá	buRá	buRá/H	buRá	jard˳	bec	NA	jard	NA	žɨngá	buRá	boRa/H	buRa	boRa	boRa	Hani	buRá	buRa
124	ВОЛ	сту	өкүз	оьгюз	оьгуьз	oš	unso/HL		ũča/HL	musa/L	musá/L	musa	ẽs/R	is	iš	õs/FL	os	õs	nic	unc	ans	jac/H	jic	jac˳	bec	wec	wic	NA	jac	jas	jac/H	NA	jac	Häni	k'orə	lix || lixíz	us
125	ТЕЛКА	дохьарг	дүјә	хонажин	хонаджин	K'olóni, šáʕil	Rajč'a/L, č'ora/L		reša/RL	č'a:/L	č'ára/L	č'ara	č'oro/H	mešori	meširo	riže/L	riže	riže	baIrč	luč	XIórč'i	líč'i/F	lič'	lič'	NA	NA	luč'	NA	lɨč'	lɨč'	wɨč'e/HL	wɨč'e	wuč'e	duga	novur	somɨ́	oǯas
126	ТЕЛЁНОК	эса	бузов	бузав	бузав	beHsé	ƚedir/HF		Le:/L || Leje/Le:ri-de	ƚedi/HF, haniXa/L	ƚedír/HF, hanníXa/L	ƚe:r	miše/LH	meši	meši	biše/L	biše	biše	baIrč, q'unča	q'áqa	biš	k'arí/R	k'arí	urč	urč	urč	k'erúq	NA	k'eráX, daná	q'ɨq, daná, šésaj	q'ɨka/HF	NA	q'ɨka	leH || lěH	läH	läq || liqéz, qičéž	mozi
127	бычок (от 1 года до 3 лет)	старг1а	ҹөнҝә	тана	тана	guníH	milča/L		buša/L	Rada-č'a/L	Radač'á/L	boha	q'˳Ienu/LH	moHodi	boju	gane/ML	gane	buhido	q̄Iača	k'áms̄̌a	X̄Iilí	žáeda/H	~žerdúq'I, žerd	jard˳	daná	NA	jard	NA	žɨngá	čawrá	dana/H, ǯonga/HL	[same]	dana, ǯonga	~k'˳arä	danə	k'uzá	arak̃
128	ЛОШАДЬ	говр	ат	ат	ат	ču	k'otu/HL		x˳ani/RL	č'at˳/L	č'atú/L	k'yatu	soro/LH	širšaRIu	gulu	šügö-sojra/M-M	šügöšörä	šugu-sərjo	č˳u	určé	noIš	haIjwán/H	haIjwán	NA	Hajwán	NA	Hajwán	NA	p̃alk̃án, šiw	hijwán || jijwán	balkan/H	NA	balkan	balkän	Xila	pši	eIk
129	КОБЫЛА	кхаьл	мадјан	байтал	байтал	ʕalá	iča/HL		ičo || ič˳a/HL	iša/L	íča/L	ič˳a	ič˳a/LH	sirjo	šoge || šeg˳	šügö/M	šügö	šugu	k̄˳ac̄a	k̄˳ác̄a	g˳áci	Xar/H	X˳ar	X˳ar	NA	X˳ar	X˳ar	NA	X˳ar	X˳ar	madjan/H, Gulan/H	[same]	madyjan, Gulan	XiliX	mergan	madján	madjan
130	ЖЕРЕБЕЦ	айг1ар	ајғыр	айгъыр	айгъир	g˳ánžab ču	čor/L		bati/L	bart/L, bárti/L	bárti/L	barti	barti/L	gulu	gulu	sojra/M	sorija	sərje	ajRur	e:Rúr	NA	ajRúr/R-haIjwán	ajaRúr-haIjwán	NA	NA	NA	Hajwán	NA	NA	ajRɨ́r	ajRɨr/HL, dajče/HL	[same]	ajRɨr, dajče	ajaRɨr	vɨli	varjá	NA
131	ЖЕРЕБЁНОК	бекъа	гулан	тай, гюлюк	тайгулук	tihí	taj/L		k'ono/R	taj/L	taj/L	ta:	taj/R	k'eč'oli	eč'il	ič'er/H, q'aL-bos/FH-RL, ƚaL-bos/M-RL	ič'er, q'aL-bos, ƚaL-bos	ĩč'er	taIj	ujrá	urí	dej/F	daj	NA	ewrá	iwrá	ürá	NA	t̃aj	daj	urje/H	urjä	urje	t'äj	t'e	rižä́	k̃op̃i
132	ОСЕЛ	вир	ешшәк	эшек	эшек	Hamá	hamoroXi/HHHL		imiXi/H	amaX/H	hamaXí/L	amaXa	omoq'Ie/H	ʕomoj	omoq'i	irmat'o/L, ãʔũ/M	irmat'o, ãʔũ	ɨrmət'u	t̄uk̄u	ámXa	dógi	daǯí/R	daǯí	degí	degí || dagí	dagí	degí	NA	lem	jímel	aImale/H	aImalä	aImale	lem	lem	hilám	elem
133	ОСЛЁНОК	вир бекъа	годуг	къодукъ	эшекни баласи	k'et	tok'is̄̌i/HL		qãL̄'a/RL	k'ort/H	k'órti/HL	L'anč'a	k'onč'i/HL	ʕomojs k'eč'oli	eč'il	k'ert'/FL, Hec'o/L, k'oʔe/H8	k'ert'	k'ert	huIk'u	amXála darXIá	k'eIrt	GIanč/H	q̄Ianc̄̌, RudúR	q̄Ianc̄̌	NA	q̄˳enc̄̌	q̄˳Ianc̄̌	NA	šank'úr, qudúx	q˳Iánc̄̌	GuduX/H	[same]	GuduR	šak'˳-aj	sipe	šunk'ór, supá	q̃oduR
134	МУЛ		гатыр	къачыр	къачир	ʕurč'én	Gurc'-im/HL		ʕoc'ino/RRL	Roc'ũ/L	Xuzín/L	Rorc'in	q'urc'une/HHL	q'˳erec'ni	hurc'um	ʕürc'en/M	Xorc'on	horc'om	wirc'un, qatir	q̄atír, amXá-buqú	q'urc'ém	GIatír/R	RIatr-í	ʕatír	NA	NA	q̄atír	NA	q̃atír	Gatír	Gatir/H	[same]	Gatir	Gätɨr	Gatɨr	q̃ätír	q̃ätír
135	КОЗА	газа	кечи	эчки	эчки	c'e	c̄'ija/LH		c̄'iriL̄i/R	s'inaL || s'inaL˳/LH, čalaL/L	c'inaLú/LH, čaláLa/L	ceneL, cena	can/R	čaInja	can	can/M	can	can	c'uku	ʕáIc̄̌a	c'aj	c'ih/H	c̣'eh	c'iH	c'eh	c'aH	c'ih	NA	c'eh	c'ih	c'eʔe || c'e:/H	c'äʔ	c'eʔ	c'ěʕ	c'äʕ	c'ol	keči
136	КОЗЁЛ	бож	еркәк кечи	теке, эркеч	эркек эчки	deʕén	t'uka/HF		t'uka/HF	beʔa/H, č'uta/L	béra/H, č'úta/HL	bera, t'uk̄ya, K'yuta, hĩhab	bera/HL, t'ɨka/HL	t'eka	t'eka	t'igä/HM, t'öqči	t'iga, t'oqči	t'iga	q'Iaca	q'áca	q'on, lép'ur-q'on	q'un/R	q'un	q'un, č'ak'ú	q'un	NA	q'un	NA	q'ɨn	q'ɨn, mɨč'ír	q'ɨna/H, wɨdra/H	q'ɨna, wɨdra	q'ɨna, wudra	täkä	təkə	taká, č'(i)qä́	keči
137	КОЗЛЁНОК	буьхьиг	кечи баласы	улакъ	гидив	c'el t'enč, burút'	c̄'ek'ir/LH		č'ek'e/R	s'eč'i/HF	c'eč'ír/HF, išán/LH	c'ik'yar, pepa	čik'e/LH, t'ɨq'o/LH	cek'i	ceK'e, t'eq'˳i	čik'e/LM, t'öq'ä/HFH	cik'e, t'öq'ä	čik'e, t'oqči	gada	gáda	motól	mudúr/R, čepǘš/R	muduŕ, čepúš	mudúr	NA	NA	mudúr	NA	p̃ac̃í	mɨtɨ́l	mɨswa/H, čepič/L	mɨsɨwa/H, čepič	mɨswa, čepič	Häč', k˳ahär	til	bac'ɨ́z	kečin bala
138	КОЗА МОЛОДАЯ (1-3 ГОДА)	авст	кепич	чебич	эчки	NA	NA		c̄'onoL̄i/HHL	NA	NA	NA	išomu/LH	NA	NA	šämü/ML	NA	šɵme	č'ak'u	č'ak'ú	čamá	NA	NA	čepíš	č'ak'ú	č'ak'ú	č'ak'ú	NA	ʕäc'	mɨXIɨ́l	k(u)war/LF, mɨXIwa/H	mɨXIɨwa	kɨwar	NA	küver	Räč'	keči
139	СОБАКА	ж1ала	ит	ит	ит; лакъай	h˳e	X˳oj/F		X˳e:/H	X˳aj/L	Xoj/L	X˳a:	R˳lẽ/H	R˳Iaj	R˳e	wo/M	wo	wə	k̄˳ac̄̌i	X˳Ia	g˳áči, tulá	Xuj/R	Xu	Xiuj	tulá	Xuj	Xuj	NA	kic'	tɨlá	X˳a:/RF	X˳ajä	X˳e:	X˳ar || Xor	Xor	pXra	XIa
140	СУКА	зуд	ганҹыг	тиши ит	тиши лакъай	kučá	geži/HL		geži/HL	čiba/L	čibá/L	čiba	čiba/LH	kača	kača	käčä/M	käča	kača	guža, tula	kuč	gužá	kač/H	kač	NA	NA	NA	kač	NA	kač	kuč	gože/L	g˳aǯä	goǯe	käč	kəč	kač	q̃anǯiR
141	ЩЕНОК	к1еза	күчүк	гючюк, кюлай	кулай	koʕó	k'unc̄'i/HL		k'ũc̃'i/HL	k'us'/L	k'unc'á/L	k'unci	k'uč'e/HL	k'uci	k'uce	k'uco/M	k'uco	k'ucu	quda, kac'a	kac'á	k'onc'ól	kurc'íl/H	kṷc'íl	kurc'úl	NA	karc'úl	kurc'úl	NA	kr̭c'ɨl	c'ik'y	kučuk/H	[same]	kučuk	kurč'	kurč'	k'ut'á	k̃üc̈̌än
142	КОШКА	цициг	(еркәк) пишик	мишик	мишик	gétu	gedu/HL		keto/HL	č'et'a/HL	ǯédu/HL	gyiwu	k'it'/F	k'et'u	k'et'u	gedö/M	gedo, maRurdi	gedu, mɵRurdi	čitu, q̄urmaw	k̄áta, marRIáw	gátu	gatú/H	gatú	get˳, marŘú	gitán, q̄Iurmáw	gitán	kitán	NA	k̃ac	get, marq'Iáw	bisi:/HL	bisij	bis̄i:	gäč, p'eRu	gəč	nin	pišik̃
143	КУРИЦА	котам	ҹүҹә, чолпа	жижек	чІикІа	ʕanák'u	ũʔecu/HHL		ʕĩk'o/RH	ũča/HL	óča/HL	o:ča	õču/RL	onoču	oʔocu	güdä/M	güdä	gudo	aInak'i	ʕáIrʕ˳a	Heléku, ƚenné Heléku	páIʔ/R	peʔ	paʡ	paʕ	päʡ	peʔ	NA	werč	K'at'	k'at'e/H	k'atä	k'at'e	kɨs	kɨs	kukác'	k̃ok̃oc̃, šIumak̃
144	ПЕТУХ	борг1ал	хоруз	хораз	хораз	Heléku	alkuci/HL		qeleko/HHL	berek˳/H	Heláku/HHL	k˳int'ab o:ča	Heleku/L	mamalaj	guluči	mamali/H	mamali	Heleku	ažari	t̄aRú, t̄át̄a	meLlé Heléku	dát̄a/H	t̄at̄	t̄at̄	NA	k̄ek̄y	t̄at̄	NA	k̃ek	dádal	dadal/H	NA	dadal	kupäl	kupəl	Xurúz	dadal
145	ГОРНЫЙ КОЗЁЛ	NA	дағ кечиси	къыр эчки	къирэчки	biš	NA		čani/HL	ƚama/L	čãj/L	čani	ãƚe/HL	aƚa	aƚa	ãƚo/ML	aƚi	ãƚe	aw	murs̄	boXI, bos	siwún q'un/c'ih	daRǯín q'un/c'eh	s̄uwán q'un	NA	NA	suwán q'un	NA	jac, ce'h	RIɨrč	k'on/H, gadir/H, wis/L	k'on, gadir, wɨs	k'on, gadir, wis	daRǯi käl, daRǯi c'ěʕ	daRǯu c'äʕ	Rɨrč	täkä
146	КОСУЛЯ	NA	ҹүјүр	къыр эчки	къирэчки	but'á	NA		maʕinaci/R	ɫũka/L	ɫunká/L	maʕanas	ɫunka/HL, biɫo/LH	reso, beɫi	NA	ɫigä/LRL, baIa/M, biɫo/M	ɫiga, bala, biɫo	ɫiga, bɨɫə	hinta	áwla ʕáIc̄̌a	sáku	fuj/F	fuj, xaw	NA	ǯejrán	NA	ǯejrán	NA	k̃acír, Rürč	NA	ǯuwur/L	ǯuwur	ǯiwur	ǯejran, ǯüjür	ǯejran	NA	NA
147	ОЛЕНЬ	сай	марал	къубагийик, марал	къувагийик	NA	belir/L		NA	jič'a/L	nič'á/L	R˳arč'a	ɫed/H	ɫid	ɫid, boɫi	led/RL	led	lad, Rel	buIrni	buč'ál	lilmúč'	mírš/R	mirš	murš	murxy || mürxy	mirg	mirg	NA	mirg	mixy	NA	NA	NA	maral	maral	marál	maral
148	КАБАН	нал	донуз	донгуз	донгъуз	botón	zila/H X̄unt'a/HL		boɫõ/H	boɫũ/HR	boɫón/HR	boɫon	bolhon/H	baILo	boLi	bulo/M	buLo	buLu	burk'	žáq'a	boIL'	sil/L, baq'Iáj/H	sil, baq'Iá	wak̄, sul	NA	buq'ác	wak̄	NA	wak	dunRúz	wok/F	NA	wok	vak	vak	g(ɨ)má	boq̃I
149	МЕДВЕДЬ	ча	ајы	аюв	айув	ši	seji/L		šĩ:/L	sehĩ/L	sihí/L	sĩ:	zẽ/H	ze	ze	si:/M	sih	sɨ	cuša	s̄íka	X̄ams	s̊éʔe/F	s̊eʔ	baIgníš	NA	baIngíš	begníš	NA	sew	sih	syo/F	soj	syo	sar	sor	psɨ	šuje || šujen
150	ВОЛК	борз	гурд, ҹанавар	бёрю	боьруь	bač'	boc'o/H		bač'a/H	bac'a/L	bazá/L	bac'a	boc'o/LH	boc'i	boc'e	bac'o/M	bac'o	bɵc'ǝ	barc'	bec'	jam	ǯanuwár/R	ǯanawár	x̌uč	x̌uč	x̌ač	ǯanáwur	NA	žanágur	ubúl	ǯanawar/H	[same]	ǯanawar	eb	eb	gra	ul
151	ЛИСА	цхьогал	түлкү	тюлкю	туьлкуь	šer	sor/H		šari/HL	sa:/L	sári/L	sari	zor/H	ziru	zeru	sora/M	sora	sə	sulč'a	k̄úrt̄a	s̄ol	sul/H	sul	s̄ul	sul	sul	sul	NA	sik'	sik'y	sɨIwa/H	NA	sɨIwa	sakul	sokul	pšlä	tülki
152	ЗАЯЦ	пхьагал	довшан	къоян, уьйкъоян, тавшан	тавушан	ʕank'	L'ank'ala/HHL		L̄'ãk'a/H	č'anL'al || L'anč'al/H	L'anč'ál/H	L'ank'yal	qlẽ/L	qIa	qi:	qija/MFL	qi	qĩ	burXI	RIúra	ojómči	GIur/H	RIur	NA	Řur	Řar	Riur	NA	q̃ür	RIɨr	RIɨje/H	RIɨjä	GIɨje	Gur	Gur	k'izä́	t̄ojšan
153	БАРСУК	NA	порсуг	порсукъ	пурсукъ	bac	onX̄ur/HL		mamac̄e/HHL	mamaša/LHH	mumačú/LH	mamača	mamača/H	birušo	birušo	miröš/M	meruse	miruš	x̄ubajs̄a	ʕarás̄ane	báIršu	as̊qIár/R	us̊qIár	usqIár	buIšáXIur	bišáX˳	č'irín wak̄	NA	NA	mišúX˳ar	pɨrsɨq'/LH	pusruq'	pɨrsɨq'	t'iš	t'uš	č'imiš	porsuq̃
